id,global_id,level,building_code,req_gold,req_elixir,req_gem,req_dark_elixir,brew_time,housing,radius,pulses_count,pulses_duration,pulses_value,pulses_value_2,research_time,research_gold,research_elixir,research_dark_elixir,research_gems,research_xp
1,lightning,1,0,0,15000,0,0,180,1,2,6,0.4,25,0,0,0,0,0,0,0
2,lightning,2,0,0,16500,0,0,180,1,2,6,0.4,30,0,14400,0,50000,0,0,120
3,lightning,3,0,0,18000,0,0,180,1,2,6,0.4,35,0,28800,0,100000,0,0,169
4,lightning,4,0,0,20000,0,0,180,1,2,6,0.4,40,0,43200,0,200000,0,0,207
5,lightning,5,0,0,22000,0,0,180,1,2,6,0.4,45,0,86400,0,600000,0,0,293
6,lightning,6,0,0,24000,0,0,180,1,2,6,0.4,53,0,345600,0,1500000,0,0,587
7,lightning,7,0,0,26000,0,0,180,1,2,6,0.4,67,0,518400,0,2500000,0,0,720
8,lightning,8,0,0,28000,0,0,180,1,2,6,0.4,80,0,626400,0,4800000,0,0,791
9,lightning,9,0,0,30000,0,0,180,1,2,6,0.4,93,0,777600,0,7000000,0,0,881
10,lightning,10,0,0,32000,0,0,180,1,2,6,0.4,100,0,1382400,0,16000000,0,0,1175
11,healing,1,0,0,15000,0,0,360,2,5,40,0.3,15,0,0,0,0,0,0,0
12,healing,2,0,0,16500,0,0,360,2,5,40,0.3,20,0,18000,0,75000,0,0,134
13,healing,3,0,0,18000,0,0,360,2,5,40,0.3,25,0,36000,0,150000,0,0,189
14,healing,4,0,0,20000,0,0,360,2,5,40,0.3,30,0,72000,0,300000,0,0,268
15,healing,5,0,0,22000,0,0,360,2,5,40,0.3,35,0,129600,0,900000,0,0,360
16,healing,6,0,0,24000,0,0,360,2,5,40,0.3,40,0,345600,0,1800000,0,0,587
17,healing,7,0,0,26000,0,0,360,2,5,40,0.3,45,0,518400,0,3000000,0,0,720
18,healing,8,0,0,28000,0,0,360,2,5,40,0.3,50,0,1036800,0,10500000,0,0,1018
19,healing,9,0,0,30000,0,0,360,2,5,40,0.3,55,0,1468800,0,17000000,0,0,1211
20,rage,1,0,0,23000,0,0,360,2,5,60,0.3,1.3,2,0,0,0,0,0,0
